DATE DE CLASSEMENT;DATE DE PUBLICATION DE L'ÉTABLISSEMENT;TYPOLOGIE DE L'ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION;NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;TÉLÉPHONE;COURRIEL;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITÉS D'HABITATION;NOMBRE DE LOGEMENTS
25/10/2016;25/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL ELYSA-LUXEMBOURG;6 RUE GAY-LUSSAC;75005;PARIS;143253174;patricia@elysa-luxembourg.fr;http://www.elysa-luxembourg.fr;-;74;32;-;-;-
25/10/2016;25/10/2016;HÔTEL;4 étoiles;-;-;HÔTEL OPÉRA CADET;24 rue Cadet;75009;PARIS;153345050;aaf@operacadet.com;http://operacadet.com;-;199;85;-;-;-
23/10/2016;23/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL CAMPANILE ROISSY;allée des vergers;95700;ROISSY-EN-FRANCE;134298040;roissy@campanile.fr;http://www.campanile.fr;-;573;269;-;-;-
23/10/2016;23/10/2016;HÔTEL;4 étoiles;-;-;K+K HÔTEL CAYRÉ ;4 boulevard Raspail;75007;PARIS;145443888;marianne.quitieri@kkhotels.fr;http://www.kkhotels.com/cayre;-;256;125;-;-;-
16/10/2016;16/10/2016;HÔTEL;2 étoiles;-;-;HÔTEL PREMIÈRE CLASSE PARIS-OUEST GENNEVILLIERS BARBANNIERS;ZAC DES BARBANNIERS, 4 AVENUE du Général DE GAULLE;92230;GENNEVILLIERS;140851619;manager.gennevilliers.barbanniers@premiereclasse.fr;http://www.premiere-classe-gennevilliers-barbanniers.fr/fr/index.aspx;-;271;111;-;-;-
16/10/2016;16/10/2016;HÔTEL;5 étoiles;-;-;HÔTEL MARQUIS FAUBOURG SAINT-HONORÉ;8 rue d'anjou;75008;PARIS;144800000;contact@marquisfsh.com;http://www.marquisfaubourgsainthonore.com;-;50;15;-;-;-
16/10/2016;16/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL LE CHAPLAIN PARIS RIVE GAUCHE;11 bis rue Jules Chaplain;75006;PARIS;01.43.26.47.64;direction@hotelchaplain.com;http://www.hotelchaplain.com;-;50;25;-;-;-
16/10/2016;16/10/2016;HÔTEL;4 étoiles;-;-;LE TERRASS HÔTEL;12-14 RUE JOSEPH DE MAISTRE;75018;PARIS;146067285;reservation@terrass-hotel.com;http://www.terrass-hotel.com;-;196;92;-;-;-
16/10/2016;16/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL BRITANNIQUE;20 avenue victoria;75001;PARIS;142337459;danjou@hotel-britannique.fr;http://www.hotel-britannique.fr;-;83;39;-;-;-
16/10/2016;16/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL MASSÉNA ;16 RUE TRONCHET;75008;PARIS;147427122;contact@paris-hotel-massena.com;http://www.paris-hotel-massena.com;-;72;36;-;-;-
16/10/2016;16/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL BEST WESTERN THE WISH VERSAILLES;6 bis rue des graviers;78280;GUYANCOURT;130640404;direction@hotelthewish.fr;http://www.hotelthewish.com/;-;126;61;-;-;-
15/10/2016;15/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL-RESTAURANT CAMPANILE PARIS SUD PORTE D' ITALIE;2 Boulevard du Général de Gaulle;94270;LE KREMLIN-BICÊTRE;146701186;manager.lekremlinbicetre@campanile.fr;http://www.campanile.fr;-;310;155;-;-;-
14/10/2016;14/10/2016;RÉSIDENCE DE TOURISME;3 étoiles;-;-;COMFORT SUITES PORT MARLY;3 avenue Simon Vouet;78560;LE PORT-MARLY;139173400;reception@comfortsuites-portmarly.com;http://www.comfortsuites-portmarly.com/;-;366;-;-;120;-
10/10/2016;10/10/2016;HÔTEL;4 étoiles;-;-;HÔTELLERIE DU BAS BRÉAU;22 GRANDE RUE;77630;BARBIZON;160664005;fava@wanadoo.fr;http://www.bas-breau.com;-;47;20;-;-;-
10/10/2016;10/10/2016;HÔTEL;4 étoiles;-;-;SHERATON PARIS AIRPORT HOTEL & CONFERENCE CENTRE;Aérogare 2, TREMBLAY-en-FRANCE;95716;ROISSY-EN-FRANCE;149197070;00125.reservation@sheraton.com;http://www.sheraton.com/parisairport;-;756;252;-;-;-
10/10/2016;10/10/2016;CAMPING;3 étoiles;Tourisme;-;LES COURTILLES DU LIDO;CHEMIN DU PASSEUR;77250;VENEUX-LES-SABLONS;160704605;lescourtilles-dulido@wanadoo.fr;http://www.les-courtilles-du-lido.fr;-;-;-;83;-;-
10/10/2016;10/10/2016;HÔTEL;4 étoiles;-;-;RADISSON BLU HOTEL AT DISNEYLAND PARIS;40 allée de la mare houleuse;77700;MAGNY-LE-HONGRE;160436400;reservations.golfresort.paris@radissonblu.com;http://www.radissonblu.fr/golfresort-paris;-;870;250;-;-;-
10/10/2016;10/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL EIFFEL SAINT CHARLES;37 RUE SAINT-CHARLES;75015;PARIS;145796415;hotel@eiffelsaintcharles.com;http://www.eiffelsaintcharles.com;-;68;33;-;-;-
10/10/2016;10/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL SAINT-GERMAIN-DES-PRÉS;36 RUE BONAPARTE;75006;PARIS;143260019;eric_desfaudais@hotmail.com;http://hotel-paris-saint-germain.com;-;62;30;-;-;-
10/10/2016;10/10/2016;HÔTEL;3 étoiles;-;-;GRAND HÔTEL DE L'UNIVERS;6 RUE GRéGOIRE DE TOURS;75006;PARIS;143293700;eric_desfaudais@hotmail.com;http://hotel-paris-univers.com;-;66;33;-;-;-
09/10/2016;09/10/2016;HÔTEL;4 étoiles;-;-;BEST WESTERN PREMIER LOUVRE SAINT HONORÉ;141 rue Saint Honoré;75001;PARIS;142962323;louvresainthonore@bookinnfrance.com;http://www.paris-hotel-louvresainthonore.com;-;79;37;-;-;-
09/10/2016;09/10/2016;HÔTEL;4 étoiles;-;-;HÔTEL ARES EIFFEL;7 rue du Général de Larminat;75015;PARIS;147347404;direction@areseiffel.fr;http://ares-paris-hotel.com/fr/;-;98;40;-;-;-
09/10/2016;09/10/2016;HÔTEL;2 étoiles;-;-;HÔTEL EDGAR QUINET;17 BOULEVARD EDGAR QUINET;75014;PARIS;143206315;info@edgarquinethotel.com;http://www.edgarquinethotel.com/fr/hotel.html;-;29;17;-;-;-
09/10/2016;09/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL AXEL OPÉRA;15 rue de Montyon;75009;PARIS;147709270;axelopera@my-paris-hotel.com;http://www.hotel-paris-axel.com;-;79;40;-;-;-
09/10/2016;09/10/2016;HÔTEL;3 étoiles;-;-;BEST WESTERN THE HOTEL VERSAILLES;Avenue Morane Saulnier;78530;BUC;139564811;direction@thehotel-versailles.fr;http://www.thehotel-versailles.fr/;-;97;47;-;-;-
09/10/2016;09/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL IBIS STYLES PARIS LAFAYETTE OPÉRA;5 rue de trévise;75009;PARIS;142461206;h6950@accor.com;http://www.ibis.com/fr/hotel-6950-ibis-styles-paris-lafayette-opera/index.shtml;-;82;42;-;-;-
09/10/2016;09/10/2016;HÔTEL;4 étoiles;-;-;HÔTEL KYRIAD PRESTIGE BOULOGNE-BILLANCOURT;20-22 rue des abondances;92100;BOULOGNE-BILLANCOURT;148258080;boulogne@kyriadprestige.fr ;http://kyriad-prestige-paris-ouest-boulogne.fr;-;150;75;-;-;-
09/10/2016;09/10/2016;HÔTEL;4 étoiles;-;-;HÔTEL VICTOIRE ET GERMAIN;9 rue Grégoire de Tours;75006;PARIS;145490326;reservation@victoireetgermainhotel.com;http://www.victoireetgermainhotel.com/;-;36;17;-;-;-
09/10/2016;09/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL DEVILLAS;4 BOULEVARD SAINT-MARCEL;75005;PARIS;143313750;info@hoteldevillas.com;http://www.hoteldevillas.com;-;83;40;-;-;-
09/10/2016;09/10/2016;HÔTEL;3 étoiles;-;-;HÔTEL PAVILLON MONCEAU ;43 rue JOUFFROY D'ABBANS  ;75017;PARIS;156792500;infos@pavillon-monceau.com;www.pavillon-monceau.com;-;89;42;-;-;-
08/10/2016;08/10/2016;HÔTEL;4 étoiles;-;-;HÔTEL BEAUCHAMPS;24 RUE DE PONTHIEU;75008;PARIS;153895858;reservations.beauchamps@book-inn-france.com;www.hotelbeauchamps.com;-;190;90;-;-;-
19/09/2016;19/09/2016;HÔTEL;4 étoiles;-;-;HÔTEL RADISSON BLU PARIS BOULOGNE;33 Avenue Edouard Vaillant;92100;BOULOGNE-BILLANCOURT;146088500;reservations.boulogne@radissonblu.com;http://radissonblu.com/hotel-parisboulogne;-;390;170;-;-;-
19/09/2016;19/09/2016;HÔTEL;4 étoiles;-;-;HÔTEL MERCURE PARIS LA SORBONNE SAINT-GERMAIN DES PRÈS;14 rue de la Sorbonne;75005;PARIS;156243434;h2897-gm@accor.com;http://www.accorhotels.com/fr/hotel-2897-hotel-mercure-paris-la-sorbonne-saint-germain-des-pres/index.shtml;-;94;47;-;-;-
19/09/2016;19/09/2016;HÔTEL;4 étoiles;-;-;HÔTEL LE BELLECHASSE SAINT-GERMAIN;8 rue de bellechasse;75007;PARIS;145502231;info@lebellechasse.com;http://www.lebellechasse.com;-;63;33;-;-;-
19/09/2016;19/09/2016;HÔTEL;4 étoiles;-;-;HÔTEL DE NOAILLES ;9 Rue de la Michodière;75002;PARIS;147429290;contact@hotelnoailles.com;http://www.hotelnoailles.com;-;123;56;-;-;-
19/09/2016;19/09/2016;HÔTEL;4 étoiles;-;-;HÔTEL LE PETIT PARIS ;214 RUE SAINT-JACQUES;75005;PARIS;153102929;info@hotelpetitparis.com;http://www.hotelpetitparis.com;-;44;20;-;-;-
19/09/2016;19/09/2016;HÔTEL;3 étoiles;-;-;HÔTEL LOUVRE MARSOLLIER OPÉRA;13 rue Marsollier;75002;PARIS;142966814;reservation@hotellouvremarsollier.com;http://www.hotellouvremarsollier.com;-;61;28;-;-;-
19/09/2016;19/09/2016;HÔTEL;3 étoiles;-;-;HÔTEL PARIS D’ISSY;4 Rue Auguste Gervais;92130;ISSY-LES-MOULINEAUX;146440290;reservation-hdlm@wanadoo.fr;www.parisdissyhotel.com;-;97;51;-;-;-
19/09/2016;19/09/2016;HÔTEL;3 étoiles;-;-;HÔTEL MONTPARNASSE DAGUERRE;94 RUE DAGUERRE;75014;PARIS;143224354;hoteldaguerre@wanadoo.fr;http://hotelmontparnassedaguerre.com;-;58;30;-;-;-
12/09/2016;12/09/2016;HÔTEL;3 étoiles;-;-;HÔTEL IBIS JOUY EN JOSAS VELIZY;Domaine de la Cour Roland;78350;JOUY-EN-JOSAS;139465544;H1687-gm@accor.com;http://www.accorhotels.com/fr/hotel-1687-ibis-jouy-en-josas-velizy/index.shtml;-;124;62;-;-;-
01/09/2016;01/09/2016;HÔTEL;2 étoiles;-;-;HÔTEL LÉONARD DE VINCI;22 RUE DES TROIS BORNES;75011;PARIS;143575546;hotelleonarddevinci@yahoo.fr;http://www.hotelleonarddevinci.com/;-;64;34;-;-;-
31/08/2016;31/08/2016;HÔTEL;4 étoiles;-;-;HÔTEL MERCURE PARIS SUD PARC DU COUDRAY;ROUTE DE MILLY;91830;LE COUDRAY-MONTCEAUX;164990000;H0977@ACCCOR.COM;http://www.mercure.com/fr/hotel-0977-hotel-mercure-paris-sud-parc-du-coudray/index.shtml;-;230;125;-;-;-
30/08/2016;30/08/2016;HÔTEL;4 étoiles;-;-;LE RELAIS DE LA MALMAISON;93 Boulevard Franklin Roosevelt;92500;RUEIL-MALMAISON;147320133;contact@relaismalmaison.fr;http://www.relaismalmaison.fr;-;123;60;-;-;-
30/08/2016;30/08/2016;HÔTEL;3 étoiles;-;-;HÔTEL IBIS SAINT-DENIS STADE OUEST;20 Rue Jules Saulnier;93200;SAINT-DENIS;148094810;h1940-gm@accor.com;http://www.accorhotels.com/fr/hotel-1940-ibis-saint-denis-stade-ouest/index.shtml;-;120;60;-;-;-
26/08/2016;26/08/2016;HÔTEL;5 étoiles;-;-;HÔTEL NOLINSKI PARIS;16 Avenue de l'Opéra;75001;PARIS;142861010;booking@nolinski.com;www.nolinskiparis.com;-;102;45;-;-;-
26/08/2016;26/08/2016;HÔTEL;4 étoiles;-;-;HÔTEL GOLDEN TULIP BERCY GARE DE LYON 209;209/211 Rue de Charenton;75012;PARIS;143408030;info@goldentulipgaredelyon209.com;www.goldentulipgaredelyon209.com;-;92;47;-;-;-
24/08/2016;24/08/2016;HÔTEL;2 étoiles;-;-;HÔTEL IBIS BUDGET PARIS ORLY AÉROPORT;1 avenue de l'union;94390;ORLY;148520756;h6917@accor.com;http://www.accorhotels.com/fr/hotel-6917-ibis-budget-paris-orly-aeroport-opening-april-2016/index.shtml;-;347;154;-;-;-
23/08/2016;23/08/2016;RÉSIDENCE DE TOURISME;4 étoiles;-;-;CITADINES TOUR EIFFEL PARIS;132 BOULEVARD DE GRENELLE;75015;PARIS;153956000;eiffel@citadines.com;http://www.citadines.com/fr/france/paris/tour_eiffel.html;-;248;-;-;104;-
23/08/2016;23/08/2016;HÔTEL;3 étoiles;-;-;HÔTEL BRISTOL;68 rue de malte;75011;PARIS;148055198;hotelbristol4@wanadoo.fr;http://www.hotel-bristol-republique.com/;-;93;45;-;-;-
22/08/2016;22/08/2016;HÔTEL;4 étoiles;-;-;HÔTEL SQUARE LOUVOIS;12 RUE DE LOUVOIS;75002;PARIS;186950202;reservation@hotel-louvois.com;www.hotel-louvois-paris.com;-;106;50;-;-;-
19/08/2016;19/08/2016;HÔTEL;4 étoiles;-;-;HÔTEL LA BELLE JULIETTE;92 rue du Cherche Midi;75006;PARIS;142229740;reservation@labellejuliette.com;http://www.hotel-belle-juliette-paris.com/fr/;-;93;45;-;-;-
19/08/2016;19/08/2016;RÉSIDENCE DE TOURISME;2 étoiles;-;-;MAMA SHELTER PARIS;109 Rue de Bagnolet;75020;PARIS;825006262;paris@mamashelter.com;www.mamashelter.com/fr/;-;337;-;-;172;-
18/08/2016;18/08/2016;HÔTEL;3 étoiles;-;-;HÔTEL NOTRE DAME;1 quai Saint-Michel;75005;PARIS;143542043;info@hotelnotredameparis.com;http://www.hotelnotredameparis.com;-;52;26;-;-;-
18/08/2016;18/08/2016;HÔTEL;4 étoiles;-;-;HÔTEL TRINITÉ HAUSSMANN;41 RUE JEAN BAPTISTE PIGALLE;75009;PARIS;142855700;info@parisplaza.com;http://trinitehaussmann.com/fr/;-;91;38;-;-;-
18/08/2016;18/08/2016;HÔTEL;4 étoiles;-;-;HÔTEL MERCURE PARIS PIGALLE SACRE COEUR;21 BOULEVARD DE CLICHY;75009;PARIS;148740112;Ha025@accor.com;http://www.accorhotels.com/gb/hotel-A025-mercure-paris-pigalle-sacre-coeur/index.shtml;-;127;62;-;-;-
05/08/2016;05/08/2016;HÔTEL;2 étoiles;-;-;LA MAISON MONTPARNASSE;53 RUE DE GERGOVIE;75014;PARIS;145421139;contact@lamaisonmontparnasse.com;http://www.lamaisonmontparnasse.com;-;72;36;-;-;-
05/08/2016;05/08/2016;HÔTEL;2 étoiles;-;-;HÔTEL PREMIÈRE CLASSE ORLY RUNGIS;18 RUE DU PONT DES HALLES;94150;RUNGIS;149780145;premiereclasseorly@wanadoo.fr;http://www.premiereclasse.com/fr/hotels/premiere-classe-orly-rungis;-;180;85;-;-;-
04/08/2016;04/08/2016;HÔTEL;3 étoiles;-;-;HÔTEL CORDELIA;11 rue de Greffulhe;75008;PARIS;142654240;contact@cordelia-paris-hotel.com;http://www.cordelia-paris-hotel.com/;-;59;30;-;-;-
04/08/2016;04/08/2016;HÔTEL;2 étoiles;-;-;HÔTEL IBIS BUDGET MARNE LA VALLÉE VAL D'EUROPE;6 RUE DE LA GARE;77144;MONTÉVRAIN;160362006;h5646-gm@accor.com;http://www.accorhotels.com/fr/hotel-5047-ibis-budget-marne-la-vallee-val-d-europe/index.shtml;-;210;70;-;-;-
04/08/2016;04/08/2016;HÔTEL;3 étoiles;-;-;HÔTEL IBIS MARNE LA VALLÉE VAL D'EUROPE;2 PLACE JEAN MONNET;77144;MONTÉVRAIN;160362006;h5646-gm@accor.com;http://www.accorhotels.com/fr/hotel-5646-ibis-marne-la-vallee-val-d-europe/index.shtml;-;200;100;-;-;-
04/08/2016;04/08/2016;HÔTEL;3 étoiles;-;-;HÔTEL SAINT ALBAN;106 BOULEVARD DE LA MARNE;94210;LA VARENNE SAINT-HILAIRE;141816831;info@hotel-saint-alban.fr;http://www.hotel-saint-alban.fr;-;47;19;-;-;-
03/08/2016;03/08/2016;HÔTEL;3 étoiles;-;-;QUALITY HÔTEL ABACA MESSIDOR;330 rue de Vaugirard;75015;PARIS;148280374;info@abacahotel.com;http://abacahotel.com;-;127;70;-;-;-
03/08/2016;03/08/2016;HÔTEL;3 étoiles;-;-;HÔTEL ÉLYSÉES 8;16 RUE Cambacérès;75008;PARIS;142657140;reservation@elysees8.com;http://www.elysees8.com;-;73;34;-;-;-
03/08/2016;03/08/2016;HÔTEL;3 étoiles;-;-;HÔTEL CAMPANILE PARIS OUEST CHAVILLE;885 AVENUE ROGER SALENGRO;92370;CHAVILLE;147506300;manager.chaville@campanile.fr;http://www.campanile.com/fr/hotels/campanile-paris-ouest-chaville;-;292;128;-;-;-
03/08/2016;03/08/2016;HÔTEL;4 étoiles;-;-;THE WESTIN PARIS VENDÔME;3 rue de Castiglione;75001;PARIS;144771111;paris@westin.com;http://www.thewestinparis.fr/;-;856;428;-;-;-
03/08/2016;03/08/2016;HÔTEL;4 étoiles;-;-;HÔTEL PAVILLON DE PARIS;7 rue de parme;75009;PARIS;155316000;pavillon@my-paris-hotel.com;http://www.pavillonparis.com;-;48;30;-;-;-
03/08/2016;03/08/2016;HÔTEL;3 étoiles;-;-;HÔTEL ÎLE DE FRANCE OPÉRA;26 rue saint augustin;75002;PARIS;147424061;hoteliledefrance@wanadoo.fr;http://www.iledefrance-paris-hotel.com/fr/;-;34;19;-;-;-
